sale_date,address,lot,property_type,rooms,floor,square_meters,price,difference_rate,latitude,longitude
03.04.2023,רמז דוד 28,6213-1273-9,דירה בבית קומות,3,שלישית,56,4550000,,32.088275,34.786459
02.04.2023,בצרון 16,6150-401-3,דירה בבית קומות,3,ראשונה,76,3600000,,,
02.04.2023,יונה הנביא 33,6915-14-5,דירה בבית קומות,2,ראשונה,44,3450000,,32.072291,34.768194
02.04.2023,בן יהודה 33,6907-35-37,דירה בבית קומות,2,ה 6,50,4490000,,32.077039,34.768083
02.04.2023,ברלין ישעיהו 1,6970-103-77,,4,שמינית,90,3500000,,,
02.04.2023,מכלל יופי 19,7043-19-2,דירה בבית קומות,4,ראשונה,90,1728000,,32.035395,34.746865
02.04.2023,אש שלום 21,6636-759-52,דירה בבית קומות,3,ראשונה,84,3277000,,,
02.04.2023,מהרל 27,6955-7-2,דירה בבית קומות,2,ראשונה,55,4000000,,,
02.04.2023,דיזנגוף 223,6960-121-31,,3,,80,4850000,,32.0903189,34.77552811770088
02.04.2023,משמר הירדן 33,6637-699-26,דירה בבית קומות,5,שמינית,101,4000000,,32.109427,34.830131
02.04.2023,בגין 144,6110-421-214,דירה בבית קומות,3,שלושים ושלוש,69,3700000,,32.07734524999999,34.79332549438699
02.04.2023,רוני 45,6135-47-53,דירה בבית קומות,2,ראשונה,38,1450000,,32.048097,34.79147
02.04.2023,התקוה 103,6135-69-132,דירה בבית קומות,5,ראשונה,32,730000,,32.047699,34.789364
02.04.2023,עזה 61,6992-70-6,דירה בבית קומות,4,רביעית,100,3830000,,32.04182,34.761653
01.04.2023,טורקוב זיגמונד 2,6637-699-14,,4,,100,4000000,,,
01.04.2023,פרישמן 15,6905-23-0,משרד,0,ראשונה,870,350000,,32.080009,34.769409
01.04.2023,,7002-37-62,,3,שישית,101,13950000,
01.04.2023,סמאטס 20,6212-1110-21,דירה בבית קומות,5,חמישית,120,10000000,,32.092966,34.789767
01.04.2023,אש שלום 21,6636-759-51,,3,,84,3277204,,,
31.03.2023,אלמגור 10,7321-47-8,דירה בבית קומות,3,שניה,52.90,1150000,,32.119533,34.843064
31.03.2023,,6634-15-23,דירה בבית קומות,3,שניה,65,4560000,
31.03.2023,,6970-63-4,דירה בבית קומות,2,ראשונה,66,2691000,
30.03.2023,לואי מרשל 10,6212-1247-5,,3,קרקע,39.16,1495000,,32.091777,34.785464
